97,98,100,111,112,4
111,112,122,97,99,2
115,97,117,99,101,5
105,109,98,117,101,1
111,97,107,101,110,2
110,111,118,101,108,1
97,98,111,117,116,1
100,105,101,116,115,3
100,105,116,116,121,2
100,105,116,99,104,1
121,97,119,101,100,4
105,110,99,117,114,2
112,108,117,99,107,1
109,117,108,99,104,5
112,117,114,103,101,4
119,111,109,97,110,2
109,97,108,116,121,2
115,109,97,99,107,5
116,117,114,98,111,2
116,114,97,100,101,2
116,114,97,105,110,3
116,114,97,105,108,5
97,98,111,117,116,2
119,97,103,101,100,2
103,97,108,101,115,3
103,97,122,101,115,3
103,97,109,101,115,5
105,111,116,97,115,2
119,105,112,101,114,2
119,105,110,101,100,2
119,105,100,101,110,5
119,105,110,101,115,3
118,111,116,101,114,2
102,97,99,101,116,2
99,97,100,101,116,5
118,111,109,105,116,2
115,116,101,97,108,3
116,97,108,107,115,5
112,111,105,115,101,2
117,110,109,101,116,2
114,101,108,97,120,1
108,101,97,107,121,5
114,97,105,115,101,2
116,101,101,110,121,2
116,101,109,112,111,5
115,97,103,101,114,2
97,99,111,114,110,2
109,105,114,122,97,2
116,114,105,97,108,2
116,114,97,105,108,5
112,101,97,107,115,4
118,111,109,105,116,2
109,105,110,111,114,5
116,97,107,101,115,3
116,111,112,105,99,2
116,119,105,114,108,2
116,104,105,114,100,5
103,108,111,118,101,2
108,97,99,101,121,2
108,105,110,101,100,3
108,105,110,101,114,5
114,97,100,105,111,2
119,114,101,99,107,2
115,112,101,114,109,5
118,111,105,100,115,2
111,119,110,101,100,2
98,114,111,97,100,2
112,114,111,117,100,5
119,97,103,111,110,2
105,118,111,114,121,2
115,116,111,105,99,2
115,112,111,105,108,5
122,97,105,114,101,2
99,111,100,101,120,2
104,111,109,101,115,2
106,111,110,101,115,3
98,111,110,101,115,3
116,111,110,101,115,5
121,101,97,115,116,4
111,112,105,117,109,2
100,111,105,110,103,5
98,111,110,101,114,2
99,111,118,101,114,5
115,117,97,118,101,2
98,108,111,97,116,2
109,97,110,105,99,2
109,97,114,99,104,5
118,111,103,117,101,2
115,111,108,118,101,2
110,111,118,97,101,2
109,111,118,105,101,5
102,108,111,97,116,2
103,108,105,116,122,3
98,108,105,116,122,5
97,110,103,108,101,4
98,105,106,111,117,2
116,104,105,114,100,2
115,107,105,114,116,5
115,97,117,99,101,2
116,101,112,105,100,2
102,111,121,101,114,2
108,111,119,101,114,3
108,111,118,101,114,5
103,97,117,122,101,4
99,111,109,105,120,3
102,111,114,116,104,2
112,111,114,110,115,2
119,111,114,108,100,5
109,97,117,118,101,2
118,101,110,111,109,5
115,97,117,116,101,2
120,101,110,105,97,2
98,108,101,97,107,3
98,114,101,97,107,5
118,105,101,119,115,2
97,117,100,105,116,2
97,102,102,105,120,2
97,112,114,105,108,5
119,101,97,118,101,3
115,117,105,116,101,2
116,104,105,110,101,2
116,111,105,108,101,2
116,114,105,99,101,3
116,114,105,98,101,5
98,97,100,103,101,2
98,101,97,114,100,5
122,97,105,114,101,2
108,111,115,101,114,2
114,117,112,101,101,2
98,101,114,116,104,2
103,114,101,101,116,2
116,114,101,110,100,5
97,122,117,114,101,2
103,111,97,116,115,2
115,108,97,105,110,2
115,119,97,109,112,2
115,104,97,100,121,2
115,104,97,99,107,5
97,117,100,105,111,2
104,111,118,101,114,2
115,116,111,110,101,2
102,101,108,111,110,2
108,101,109,111,110,5
97,122,105,100,101,2
114,101,109,105,116,2
108,105,110,101,114,2
98,105,107,101,114,5
105,109,97,103,101,2
115,108,117,109,112,1
108,111,111,109,115,5
100,101,108,116,97,2
115,112,105,99,101,2
98,105,107,101,115,2
102,105,110,101,115,5
99,97,100,101,116,1
114,111,117,103,101,1
115,112,111,107,101,3
115,109,111,107,101,5
110,97,114,99,111,1
112,101,107,105,110,2
105,110,101,112,116,5
115,119,97,108,101,2
115,113,117,105,100,2
115,116,111,109,112,3
115,112,111,114,116,5
97,108,101,114,116,2
109,101,97,116,115,2
112,97,115,116,101,4
104,97,115,116,101,4
99,97,115,116,101,4
119,97,115,116,101,5
112,114,105,109,111,2
98,111,97,114,100,2
108,111,110,101,114,3
99,111,118,101,114,5
